asset_id,subject_type,subject_name,local_file,asset_kind,source_page_url,creator,license_id,license_url,attribution_text,modifications,source_sha1,output_sha256,retrieved_utc,review_status,rights_notes
lata-mangeshkar-cutout-v2,person,Lata Mangeshkar,people/lata-mangeshkar-cutout-v2.png,person_photo,https://commons.wikimedia.org/wiki/File:Lata_Mangeshkar.jpg,Bollywood Hungama,CC-BY-3.0,https://creativecommons.org/licenses/by/3.0/,Photo: Bollywood Hungama / BollywoodHungama.com; CC BY 3.0; via Wikimedia Commons.,background removed; subject isolated; cropped/resized; alpha mask refined,8424089726e399b215f0ba0bfddce03a22e9005c,49cb164ef62a4e99f0e13bb34ffb7850e555a3a9b1eca09c9e822bc3f1123c06,2026-09-19,approved,Use only to identify the subject; no endorsement implied.
asha-bhosle-cutout-v2,person,Asha Bhosle,people/asha-bhosle-cutout-v2.png,person_photo,https://commons.wikimedia.org/wiki/File:Asha_Bhosle_(2014).jpg,Bollywood Hungama,CC-BY-3.0,https://creativecommons.org/licenses/by/3.0/,Photo: Bollywood Hungama / BollywoodHungama.com; CC BY 3.0; via Wikimedia Commons.,background removed; subject isolated; cropped/resized; alpha mask refined,9085dbbf15a0baebf2c157323191210c4eb48141,667c59fad393e49404e464c2c7a887816b466d1d3ecaf55b6bc755c710384b32,2026-09-19,approved,Use only to identify the subject; no endorsement implied.
a-r-rahman-cutout-v2,person,A. R. Rahman,people/a-r-rahman-cutout-v2.png,person_photo,https://commons.wikimedia.org/wiki/File:A._R._Rahman.jpg,Bollywood Hungama,CC-BY-3.0,https://creativecommons.org/licenses/by/3.0/,Photo: Bollywood Hungama / BollywoodHungama.com; CC BY 3.0; via Wikimedia Commons.,background removed; subject isolated; cropped/resized; alpha mask refined,9b2758e0550610efff857c7641a7eeeebac13a00,b6d42702f999bb11d6a00cf3f804340ac6e74c563630a9076eb181d8e6263424,2026-09-19,approved,Upscaled from the verified Commons source; no endorsement implied.
amitabh-bachchan-cutout-v2,person,Amitabh Bachchan,people/amitabh-bachchan-cutout-v2.png,person_photo,https://commons.wikimedia.org/wiki/File:Amitabh_Bachchan.jpg,"Soumik from Mumbai, India",CC-BY-SA-2.0,https://creativecommons.org/licenses/by-sa/2.0/,"Photo: Soumik from Mumbai, India; CC BY-SA 2.0; via Wikimedia Commons.",background removed; subject isolated; cropped/resized; alpha mask refined,553ea2f08ac8939c6bb6fb7cffd4435aa8f8b667,9ac1230b8e1d610200491e1774c2f5bb61ce0bbb5e95aff323979f29b5e31410,2026-09-19,approved,Derivative remains CC BY-SA 2.0; attribution and ShareAlike apply; no endorsement implied.
dilip-kumar-cutout-v2,person,Dilip Kumar,people/dilip-kumar-cutout-v2.png,person_photo,https://commons.wikimedia.org/wiki/File:DilipKumar.jpg,Bollywood Hungama,CC-BY-3.0,https://creativecommons.org/licenses/by/3.0/,Photo: Bollywood Hungama / BollywoodHungama.com; CC BY 3.0; via Wikimedia Commons.,background removed; subject isolated; cropped/resized; alpha mask refined,3c7289de68f66b692769cbd485340c5d5637609f,e3432fa3f17c713b99063f0a18ba95802a2995f67590c760fd224f461398c20f,2026-09-19,approved,Upscaled from the verified Commons source; no endorsement implied.
rajesh-khanna-cutout-v2,person,Rajesh Khanna,people/rajesh-khanna-cutout-v2.png,person_photo,https://commons.wikimedia.org/wiki/File:Rajesh_Khanna_Profile.jpg,Bollywood Hungama,CC-BY-3.0,https://creativecommons.org/licenses/by/3.0/,Photo: Bollywood Hungama / BollywoodHungama.com; CC BY 3.0; via Wikimedia Commons.,background removed; subject isolated; cropped/resized; alpha mask refined,9c93bfd85c3e5d45a4a3329ec8cb6650b41e8446,c2865c06a2c256807b52a02cdeefad88e2b753c94c9a18fc1e595991dc0791c5,2026-09-19,approved,Commons source was already cropped; icon is upscaled; no endorsement implied.
sushant-singh-rajput-cutout-v2,person,Sushant Singh Rajput,people/sushant-singh-rajput-cutout-v2.png,person_photo,"https://commons.wikimedia.org/wiki/File:Sushant_Singh_Rajput,_IFFI_2017,_Goa,_India.jpg",joegoaukiffi3,CC-BY-SA-2.0,https://creativecommons.org/licenses/by-sa/2.0/,Photo: joegoaukiffi3; CC BY-SA 2.0; via Wikimedia Commons.,background removed; subject isolated; cropped/resized; alpha mask refined,2ef2981c7d2b2545a60dc37b7e9a049279ab9cdd,3db910e1992586fc257d3124c17c740d8b956315dc0bb2763c1a6ad67bfd08a6,2026-09-19,approved,Derivative remains CC BY-SA 2.0; attribution and ShareAlike apply; no endorsement implied.
category-adult-v2,category,Adult,generated/category-adult-v2.png,generated_category,,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,Original SKY TV artwork released under CC0 1.0.,rendered from background-free project SVG source,,c5ff84932e034c6d04a813cee3d2cb2497a73c52387e47cfdbd1f99d241dac82,2026-09-19,approved,Original project artwork released under CC0; no third-party image.
category-documentary-v2,category,Documentary,generated/category-documentary-v2.png,generated_category,,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,Original SKY TV artwork released under CC0 1.0.,rendered from background-free project SVG source,,e49f2d9c37af95a6d6674e033c6748dfc98561ea2207ec6c095d8feaa9708d87,2026-09-19,approved,Original project artwork released under CC0; no third-party image.
category-education-v2,category,Education,generated/category-education-v2.png,generated_category,,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,Original SKY TV artwork released under CC0 1.0.,rendered from background-free project SVG source,,99babaaef111caa3f3558801af8e7a15465d14d6b60d51e0266bc8a98c561a41,2026-09-19,approved,Original project artwork released under CC0; no third-party image.
