asset_id,subject_type,subject_name,person_role,local_file,asset_kind,creator,license_id,license_url,output_sha256,review_status,rights_notes
person-fallback-a-r-rahman,person,A. R. Rahman,singer,generated/people/person-fallback-a-r-rahman.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,fd1a331e52b3372f029756556209d0d9d0cf84318c576002c17f1f60d15d38e6,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-abhay-deol,person,Abhay Deol,actor,generated/people/person-fallback-abhay-deol.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,823759d77f641941c84343052bf22ea4c0f700c09d68f21b5d41be7972cc2220,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-abhijeet-bhattacharya,person,Abhijeet Bhattacharya,singer,generated/people/person-fallback-abhijeet-bhattacharya.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,dcb83421c5be3221b25fb49326019ccab0bdf3bff557d3b9b62110a8ac8b2384,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-abhishek-bachchan,person,Abhishek Bachchan,actor,generated/people/person-fallback-abhishek-bachchan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,8fe32917232b53ab6300c9a9aecab1526bac39553f02ea98510b94fef068f80d,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-abrar-ul-haq,person,Abrar Ul Haq,singer,generated/people/person-fallback-abrar-ul-haq.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,c27b9206a9fdcf83a605e4dcac0a09289d4140578906c9b45cb7cd4cdb6f3a92,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-adnan-sami,person,Adnan Sami,singer,generated/people/person-fallback-adnan-sami.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,7f368e92fb6a7493ef42d20686ca3adf22989bf075d45cebd21ac7b47cffc5ee,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-aftab-shivdasani,person,Aftab Shivdasani,actor,generated/people/person-fallback-aftab-shivdasani.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,232d727b125fedb1c9a50ff6be5930001c5a6e9396ee8e0a50b29f0613615bc0,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-aima-baig,person,Aima Baig,singer,generated/people/person-fallback-aima-baig.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,37fc977a6c77646367a58a51a613a98b7f9477d1e3b72fa5bca0dfecd374b586,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-ajay-devgn,person,Ajay Devgn,actor,generated/people/person-fallback-ajay-devgn.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,64dcf929324545ff5fe9b8aa9dd5c55b4b36d518ce4ec3dccee92e82084a9605,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-akhil,person,Akhil,singer,generated/people/person-fallback-akhil.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,c3d697819a93ca5c5ca864e8432c59df766ac6d6bc45927fd16060346cc11f54,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
