"subject_name","subject_key","role","research_status","source_page_url","original_media_url","creator","source_date","width_px","height_px","license_id","license_url","identity_evidence","crop_suitability","review_notes","fallback_asset_id","reviewed_utc"
"A. R. Rahman","a-r-rahman","singer","approved","https://commons.wikimedia.org/wiki/File:A.R._Rahman_at_the_2025_Toronto_International_Film_Festival.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/A.R._Rahman_at_the_2025_Toronto_International_Film_Festival.jpg","Desmond Herzfelder","","6000","4000","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0","A.R. Rahman, composer, at the 2025 Toronto International Film Festival (TIFF) for the movie Gandhi .","Excellent high-resolution solo event portrait; face remains clear at guide size.","No correction needed Exact subject is identified by the Commons file title/description and visually matches the named singer. Attribute author/source, retain license link, and identify background removal/cropping as modifications. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. not required; neutral microphone remains safe fallback Source license statement: CC BY 4.0. An approved cutout for this exact subject already exists in the production icon catalog; preserve it unless a replacement is reviewed intentionally.","category-music-microphone-v3","2026-09-19"
"Abhay Deol","abhay-deol","actor","approved","https://commons.wikimedia.org/wiki/File:Abhay_Deol_in_2021_(2).jpg","https://upload.wikimedia.org/wikipedia/commons/5/51/Abhay_Deol_in_2021_%282%29.jpg","Tina Dahel","2021-07-06","1800","2700","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","File description explicitly identifies Bollywood actor Abhay Deol; exact-name Commons category corroborates identity.","High-resolution solo vertical portrait; excellent head-and-shoulders crop with ample edge room.","Record attribution and mark the transparent cutout as an adaptation; ShareAlike applies. Source license statement: CC BY-SA 4.0.","category-movie-clapperboard-v3","2026-09-19"
"Abhijeet Bhattacharya","abhijeet-bhattacharya","singer","approved","https://commons.wikimedia.org/wiki/File:Abhijeet_Bhattacharya.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b5/Abhijeet_Bhattacharya.jpg","Bollywood Hungama","","405","461","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0","Abhijeet Bhattacharya at launch Ravindra Jain’s book ‘Dil Ki Nazar Se’","Clean solo head-and-shoulders portrait; moderate resolution but sufficient for a 512px source cutout.","No correction needed Exact subject is identified by the Commons file title/description and visually matches the named singer. Attribute author/source, retain license link, and identify background removal/cropping as modifications. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. not required; neutral microphone remains safe fallback Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Abhishek Bachchan","abhishek-bachchan","actor","approved","https://commons.wikimedia.org/wiki/File:Abhishek_Bachchan_in_2025.jpg","https://upload.wikimedia.org/wikipedia/commons/1/13/Abhishek_Bachchan_in_2025.jpg","Bollywood Hungama","2025-03-05","585","798","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","File description names Abhishek Bachchan at a Be Happy promotion; exact-person event photograph.","Solo vertical event portrait; enough resolution for a centered head-and-torso icon.","Bollywood Hungama VRT-licensed event photo; retain source-page attribution. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Abrar-ul-Haq","abrar-ul-haq","singer","approved","https://commons.wikimedia.org/wiki/File:Abrar-ul-Haq_2014-05-10.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Abrar-ul-Haq_2014-05-10.jpg","Robert Thivierge (Thivierr)","","3168","3168","CC-BY-SA-3.0","https://creativecommons.org/licenses/by-sa/3.0/","confirmed Commons self-published own-work declaration with named photographer and event description","High-resolution square event portrait; strong crop latitude","APPROVED FOR PORTRAIT DESIGN Keep author credit, source, license link, modification notice, and compatible share-alike terms Source license statement: CC BY-SA 3.0.","category-music-microphone-v3","2026-09-19"
"Adnan Sami","adnan-sami","singer","approved","https://commons.wikimedia.org/wiki/File:Adnansami2.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d6/Adnansami2.jpg","786foster101","","2448","3696","CC-BY-SA-3.0","https://creativecommons.org/licenses/by-sa/3.0","Adnan Sami - In Concert","High-resolution solo concert image; full body with a recognizable face and clean separation.","No correction needed Exact subject is identified by the Commons file title/description and visually matches the named singer. Attribute author/source; release distributed cutout adaptation under the same or compatible ShareAlike license; retain license link and change notice. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. not required; neutral microphone remains safe fallback Source license statement: CC BY-SA 3.0.","category-music-microphone-v3","2026-09-19"
"Aftab Shivdasani","aftab-shivdasani","actor","approved","https://commons.wikimedia.org/wiki/File:Aftab_Shivdasani_(IIFA-2014).jpg","https://upload.wikimedia.org/wikipedia/commons/6/65/Aftab_Shivdasani_%28IIFA-2014%29.jpg","Laura Lee Dooley; derivative crop by Gpkp","2014-04-25 photo; derivative created 2024-07-26","2856","3000","CC-BY-2.0","https://creativecommons.org/licenses/by/2.0/","Exact actor is named in both the derivative and linked original IIFA file.","Large near-square portrait crop; excellent for face-and-shoulders extraction.","Reviewed provider spelling or alias: ""AFTAB SHIVDASNI"" maps exactly to ""Aftab Shivdasani"". Attribute Laura Lee Dooley and note the additional crop/adaptation. Source license statement: CC BY 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Aima Baig","aima-baig","singer","conditional","https://commons.wikimedia.org/wiki/File:Aima_Baig_VOA_2023.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/Aima_Baig_VOA_2023.png","VOA Urdu","","1080","1620","PD-USGov","https://commons.wikimedia.org/wiki/File:Aima_Baig_VOA_2023.png#Licensing","confirmed Commons page still carries an unresolved LicenseReview request; no completed reviewer result was found","Strong vertical video still with enough resolution for a clean crop","HOLD - DO NOT USE YET VOA republishes third-party material, so the agency name alone does not establish that this frame is a U.S.-government work; require a completed license review or direct VOA ownership proof Upstream source: https://facebook.com/VOAUrdu/videos/838140957668261. Source license statement: Public domain claimed as U.S. federal-government work.","category-music-microphone-v3","2026-09-19"
"Ajay Devgn","ajay-devgn","actor","approved","https://commons.wikimedia.org/wiki/File:Ajay_Devgn_promotes_Baadshaho.jpg","https://upload.wikimedia.org/wikipedia/commons/c/cb/Ajay_Devgn_promotes_Baadshaho.jpg","Bollywood Hungama","2017-08-24","337","506","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Description explicitly identifies Ajay Devgn during Baadshaho promotion; spelling correction is verified.","Solo vertical event crop; adequate for a small TV-guide icon, though avoid aggressive enlargement.","Reviewed provider spelling or alias: ""AJAY DEVGAN"" maps exactly to ""Ajay Devgn"". Prefer this reviewed event photo over unrelated web publicity images. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Akhil","akhil","singer","conditional","https://commons.wikimedia.org/wiki/File:Akhil.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e1/Akhil.jpg","pictures tree","2019-07-14","1015","738","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Exact article image for the Punjabi singer, but the file description is only the single name 'Akhil'; landscape video still and sunglasses reduce cutout quality.","Exact article image for the Punjabi singer, but the file description is only the single name 'Akhil'; landscape video still and sunglasses reduce cutout quality.","YouTube-origin still; Commons records a completed license review. Single-name identity was checked against article/Wikidata usage, so it is not being conflated with unrelated people named Akhil. Personality/publicity rights may still apply. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
