server_id,stream_id,category_id,category_name,channel_name,action,source,epg_id,epg_feed,reason,feed_key,effective_feed_key,effective_epg_id,has_programmes
server_3,1284574,1580,4K UHD,|4K| LOVE NATURE UHD,AUTO_EPGSHARE,epgshare,Love.Nature.ca2,CA2,Shared identity normalizer found one catalog family after removing technical/bracket/acronym metadata,CA2,CA2,Love.Nature.ca2,True
server_3,1284572,1580,4K UHD,|4K| BLOOMBERG UHD,AUTO_EPGSHARE,epgshare,Bloomberg.HD.uk,UK1,Shared identity normalizer found one catalog family after removing technical/bracket/acronym metadata,UK1,UK1,Bloomberg.HD.uk,True
server_3,1284571,1580,4K UHD,|4K| CNN UHD 4K,AUTO_EPGSHARE,epgshare,CNN.HD.uk,UK1,Context parser removed provider/quality metadata and found one exact strict channel family in ALL,UK1,UK1,CNN.HD.uk,True
server_3,1284564,1580,4K UHD,|4K| QVC UHD,AUTO_EPGSHARE,epgshare,QVC.HD.uk,UK1,Context parser removed provider/quality metadata and found one exact strict channel family in ALL,UK1,UK1,QVC.HD.uk,True
server_3,1284559,1580,4K UHD,|4K| SKY SPORT 4K [LIVE-EVENT],AUTO_DUMMY,dummy,PPV.EVENTS.Dummy.us,DUMMY_CHANNELS,PPV/Event category or channel mapped to PPV dummy,DUMMY_CHANNELS,DUMMY_CHANNELS,PPV.EVENTS.Dummy.us,True
server_3,1284558,1580,4K UHD,|4K| SKY SPORTS UHD [EVENT],AUTO_DUMMY,dummy,PPV.EVENTS.Dummy.us,DUMMY_CHANNELS,PPV/Event category or channel mapped to PPV dummy,DUMMY_CHANNELS,DUMMY_CHANNELS,PPV.EVENTS.Dummy.us,True
server_3,1284553,1580,4K UHD,|4K| ZEE TV UHD,AUTO_EPGSHARE,epgshare,ZEE.TV.HD.in,IN4,Shared identity normalizer found one catalog family after removing technical/bracket/acronym metadata,IN4,IN4,ZEE.TV.HD.in,True
server_3,1284552,1580,4K UHD,|4K| TNT ULTIMATE 4K+ [LIVE-EVENT],AUTO_DUMMY,dummy,PPV.EVENTS.Dummy.us,DUMMY_CHANNELS,PPV/Event category or channel mapped to PPV dummy,DUMMY_CHANNELS,DUMMY_CHANNELS,PPV.EVENTS.Dummy.us,True
server_3,1284551,1580,4K UHD,|4K| TNT SPORTS UHD [EVENT],AUTO_DUMMY,dummy,PPV.EVENTS.Dummy.us,DUMMY_CHANNELS,PPV/Event category or channel mapped to PPV dummy,DUMMY_CHANNELS,DUMMY_CHANNELS,PPV.EVENTS.Dummy.us,True
server_3,1284548,1580,4K UHD,|4K| SPORTSNET 360 UHD,AUTO_EPGSHARE,epgshare,Sportsnet.360.HD.ca2,CA2,Shared identity normalizer found one catalog family after removing technical/bracket/acronym metadata,CA2,CA2,Sportsnet.360.HD.ca2,True
server_3,1284547,1580,4K UHD,|4K| ESPN UHD,AUTO_EPGSHARE,epgshare,ESPN.HD.us2,US2,Shared identity normalizer found one catalog family after removing technical/bracket/acronym metadata,US2,US2,ESPN.HD.us2,True
server_3,1284546,1580,4K UHD,|4K| ELEVEN SPORTS 1 UHD,AUTO_DUMMY,dummy,PPV.EVENTS.Dummy.us,DUMMY_CHANNELS,Generic numbered sports/event bank changes with each provider event,DUMMY_CHANNELS,DUMMY_CHANNELS,PPV.EVENTS.Dummy.us,True
server_3,1284535,1580,4K UHD,|4K| BEIN SPORTS AR [EVENT],AUTO_DUMMY,dummy,PPV.EVENTS.Dummy.us,DUMMY_CHANNELS,PPV/Event category or channel mapped to PPV dummy,DUMMY_CHANNELS,DUMMY_CHANNELS,PPV.EVENTS.Dummy.us,True
server_3,845453,1363,|EU| FRANCE HEVC,##### GENERAL #####,AUTO_DUMMY,dummy,Blank.Dummy.us,DUMMY_CHANNELS,Decorative category heading/placeholder has no playable linear schedule,DUMMY_CHANNELS,DUMMY_CHANNELS,Blank.Dummy.us,False
server_3,845452,1363,|EU| FRANCE HEVC,FR - TF1 HEVC,KEEP_PANEL,panel,TF1.fr,server xmltv.php,Panel XMLTV supplies the unsupported market's useful current/future schedule,PANEL,PANEL,TF1.fr,True
server_3,845450,1363,|EU| FRANCE HEVC,FR - FRANCE 2 HEVC,KEEP_PANEL,panel,France2.fr,server xmltv.php,Panel XMLTV supplies the unsupported market's useful current/future schedule,PANEL,PANEL,France2.fr,True
server_3,845449,1363,|EU| FRANCE HEVC,FR - FRANCE 3 HEVC,KEEP_PANEL,panel,France3.fr,server xmltv.php,Panel XMLTV supplies the unsupported market's useful current/future schedule,PANEL,PANEL,France3.fr,True
server_3,845447,1363,|EU| FRANCE HEVC,FR - FRANCE 4 HEVC,KEEP_PANEL,panel,France4.fr,server xmltv.php,Panel XMLTV supplies the unsupported market's useful current/future schedule,PANEL,PANEL,France4.fr,True
server_3,845446,1363,|EU| FRANCE HEVC,FR - FRANCE 5 HEVC,KEEP_PANEL,panel,France5.fr,server xmltv.php,Panel XMLTV supplies the unsupported market's useful current/future schedule,PANEL,PANEL,France5.fr,True
server_3,845445,1363,|EU| FRANCE HEVC,FR - M6 HEVC,KEEP_PANEL,panel,M6.fr,server xmltv.php,Panel XMLTV supplies the unsupported market's useful current/future schedule,PANEL,PANEL,M6.fr,True
